platform,sceneid,productid,acqdate,tileid
Sentinel 2,S2B_MSIL1C_20180621T074609_N0206_R135_T39UVB_20180621T100437,d0b75fc9-f68d-4066-a1ea-ccf4657899ad,2018-06-21 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180621T074609_N0206_R135_T39UUB_20180621T100437,acca5378-ac62-423a-b576-e71e6e320427,2018-06-21 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180619T075611_N0206_R035_T39VUC_20180619T092232,4a84926f-27a5-438d-b4bf-bd93abb6e18f,2018-06-19 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180619T075611_N0206_R035_T39UUB_20180619T092232,6837b651-f107-483a-9ec9-136c6ab7c6c3,2018-06-19 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180619T075611_N0206_R035_T39VVC_20180619T092232,78d67510-e6ac-4ca7-acdd-383f74d3bf14,2018-06-19 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180619T075611_N0206_R035_T39UVB_20180619T092232,a096bf47-45ab-437b-baf2-bef6434d703f,2018-06-19 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180616T074611_N0206_R135_T39VUC_20180616T092032,69e6f2c1-e0aa-4bdb-afc6-f7125441b8fc,2018-06-16 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180616T074611_N0206_R135_T39VVC_20180616T092032,8c3b3600-5594-434a-9ed5-e165e56fa3d9,2018-06-16 00:00:00,T39VVC
Sentinel 2,S2A_MSIL1C_20180616T074611_N0206_R135_T39UVB_20180616T092032,4ff934fc-f380-434b-83a8-a60be4999243,2018-06-16 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180616T074611_N0206_R135_T39UUB_20180616T092032,68d878f8-a7e8-4c1a-88da-bbdfc72152aa,2018-06-16 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180611T074609_N0206_R135_T39VVC_20180611T113316,67775f84-454f-4021-a5d5-cab277dc9b16,2018-06-11 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180611T074609_N0206_R135_T39UUB_20180611T113316,936aaa94-d7df-406e-b651-640649f011f7,2018-06-11 00:00:00,T39UUB
Sentinel 2,S2B_MSIL1C_20180611T074609_N0206_R135_T39VUC_20180611T113316,84a8162c-d130-484f-a031-59da50cc9cea,2018-06-11 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180606T075011_N0206_R135_T39UUB_20180606T113447,88381db4-6212-43fd-843c-e3036b28fcde,2018-06-06 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180530T075611_N0206_R035_T39VUC_20180530T100105,384ac5ca-2ccb-4cd3-9d15-8ae39cfcffdf,2018-05-30 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180530T075611_N0206_R035_T39UVB_20180530T100105,91fcce30-2b25-41a2-b129-0133ed178121,2018-05-30 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180530T075611_N0206_R035_T39UUB_20180530T100105,3d795902-327d-41fc-a382-347869053d89,2018-05-30 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180527T074731_N0206_R135_T39UVB_20180527T095021,8b01a05f-552a-415b-9d66-8ebc44cec28e,2018-05-27 00:00:00,T39UVB
Sentinel 2,S2A_MSIL1C_20180527T074731_N0206_R135_T39UUB_20180527T095021,f39d908d-48a5-4194-96da-0a69c4ef3860,2018-05-27 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180527T074731_N0206_R135_T39VUC_20180527T095021,7f3795e2-83ea-4fd6-a18f-0ec9aa542902,2018-05-27 00:00:00,T39VUC
Sentinel 2,S2A_MSIL1C_20180527T074731_N0206_R135_T39VVC_20180527T095021,e79ae767-67bf-40a6-a397-be4844845110,2018-05-27 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180522T074719_N0206_R135_T39VVC_20180522T100631,8e33544a-4c4f-48c3-9566-c7742b40cc6c,2018-05-23 00:00:00,T39VVC
Sentinel 2,S2B_MSIL1C_20180522T074719_N0206_R135_T39UVB_20180522T100631,3b91e162-233b-4886-b360-05edd5868a9d,2018-05-23 00:00:00,T39UVB
Sentinel 2,S2B_MSIL1C_20180522T074719_N0206_R135_T39VUC_20180522T100631,dba3d466-d413-429a-8a4d-4bb0a76da6f0,2018-05-23 00:00:00,T39VUC
Sentinel 2,S2B_MSIL1C_20180522T074719_N0206_R135_T39UUB_20180522T100631,c5a8f4ad-f3da-446c-a9e7-88d6baf8885d,2018-05-23 00:00:00,T39UUB
Sentinel 2,S2A_MSIL1C_20180517T074611_N0206_R135_T39VVC_20180517T091941,c9438bb7-ab45-474c-a649-ef967e59c96e,2018-05-17 00:00:00,T39VVC
